0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,6,epithelium
16,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,207,epithelium
0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,230,epithelium
0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,1,epithelium
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,85,epithelium
0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,183,epithelium
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,epithelium
